id,equipment_type,inspection_type,serial_number,expiry_date,status,capacity_ton,leg,location,created_at
60840340-bcfa-4910-9c0a-19b1fd8bf2fe,"Come Along","Visual Inspection",410280053,2026-10-19,"Expiring Soon",3,"",TB-703,"2026-04-18 11:15:20.569001+00"
012c8e25-ff98-4c07-be39-766b8f88be70,"Lifting Belt","Visual Inspection",200003-197,2026-10-19,"Expiring Soon",3,"",TB-703,"2026-04-18 11:15:20.569001+00"
c6c2501c-c63e-416a-8e23-cc399626e5b4,"Lifting Belt","Visual Inspection",LP-48803,2026-10-19,Valid,6,1,TB-703,"2026-04-20 13:55:30.775025+00"
41b44e94-5b5c-4aa7-808d-7002bb9fb0b0,"Lifting Belt","Visual Inspection",LP-200003-64,2026-10-19,Valid,6,1,TB-703,"2026-04-20 13:56:18.636906+00"
fe64833a-a1c7-415d-9a57-281f3d960114,"Lifting Belt","Visual Inspection",LP-48801,2026-05-25,Valid,6T,"",TB-713,"2026-04-21 07:30:32.085817+00"
6f7ee604-64e4-41f6-9b07-3ccb4b01de7d,Sling,"Visual Inspection",MF-105,2026-07-18,Valid,18,4,Yard,"2026-04-18 11:15:20.569001+00"
b4dcb5d2-56e1-47c6-99c0-d93085169c23,Sling,"Visual Inspection",079669-002A,2026-09-14,Valid,9.1,1,Yard,"2026-04-18 11:15:20.569001+00"
43e12cac-52c9-4135-a9da-ff2e754dffd5,Sling,"Visual Inspection",076667-001/A,2026-06-30,Valid,13.6,5,Yard,"2026-04-18 11:15:20.569001+00"
6162386d-fd51-424e-9a05-41f14d234b79,Sling,"Visual Inspection",NPS-3765,2026-06-30,Valid,2,1,Yard,"2026-04-18 11:15:20.569001+00"
267c8c31-9e96-4444-aab6-ae5d25ad46c2,Sling,"Visual Inspection",NPS-3771,2026-06-30,Valid,2,1,Yard,"2026-04-18 11:15:20.569001+00"
424761c7-6fe3-4191-a545-86997d5ef8bc,Sling,"Visual Inspection",AZ-9136,2026-06-30,Valid,2.1,1,Yard,"2026-04-18 11:15:20.569001+00"
cba6da37-9b9d-4fb5-8e2b-883904ff9baa,Sling,"Visual Inspection",NPS-2145,2026-06-30,Valid,2.1,1,Yard,"2026-04-18 11:15:20.569001+00"
2f0d8310-ba3a-4a97-9128-203551540c59,Sling,"Visual Inspection",NPS-3758,2026-09-14,Valid,2,1,Yard,"2026-04-18 11:15:20.569001+00"
60111728-7b76-4d67-8665-587c78d185e3,Sling,"Visual Inspection",NPS-3763,2026-09-14,Valid,2,1,Yard,"2026-04-18 11:15:20.569001+00"
e165942b-9e0d-4f94-a101-374ac6afd93d,Sling,"Visual Inspection",AZ-9137,2026-07-18,Valid,10,1,Yard,"2026-04-18 11:15:20.569001+00"
8e2c8048-8ec6-4725-8c5f-eb70c9dcd2ba,Sling,"Visual Inspection",NPS-4988,2026-07-06,Valid,10,1,Yard,"2026-04-18 11:15:20.569001+00"
6d1923e6-4677-4de5-9161-7bc04b046712,Sling,"Visual Inspection",SA-215,2026-05-01,"Expiring Soon",2.5,1,Yard,"2026-04-18 11:15:20.569001+00"
e646ff42-6bd8-4741-a218-2f704da3b756,Sling,"Visual Inspection",NPS-167,2026-07-18,Valid,8.6,2,Yard,"2026-04-18 11:15:20.569001+00"
d026af81-3e2e-42c8-b80b-92a041cb30d3,Sling,"Visual Inspection",AZ-557,2026-08-03,Valid,13,4,Yard,"2026-04-18 11:15:20.569001+00"
3e3109c0-43bf-492b-988b-7fa19e1443f5,Sling,"Visual Inspection",SA-220,2026-06-30,Valid,10.7,4,Yard,"2026-04-18 11:15:20.569001+00"
bdab783a-8c01-454b-9acb-bece08ad545c,Sling,"Visual Inspection",NPS-3750,2026-05-02,"Expiring Soon",13,4,Yard,"2026-04-18 11:15:20.569001+00"
50ee05d9-3bbd-4e46-b1f0-ff6cf516c416,Sling,"Visual Inspection",076355-003,2026-07-18,Valid,9.5,4,Yard,"2026-04-18 11:15:20.569001+00"
5e8886a3-7238-44ff-9762-8e4e0d8367f3,Sling,"Visual Inspection",SA-213,2026-08-03,Valid,13.85,4,Yard,"2026-04-18 11:15:20.569001+00"
1f72a8b7-491b-46d1-b054-4d91500bcbe8,Sling,"Visual Inspection",079669-002,2026-09-14,Valid,9.1,4,Yard,"2026-04-18 11:15:20.569001+00"
c9b4daec-a3d2-47e1-9fc1-d2e580e55754,Sling,"Visual Inspection",076355-001,2026-07-18,Valid,9.5,4,Yard,"2026-04-18 11:15:20.569001+00"
4cba8ad9-6516-4a9d-ab9f-82f218f45180,Sling,"Visual Inspection",NPS-2586,2026-06-29,Valid,13,4,Yard,"2026-04-18 11:15:20.569001+00"
1403df03-133a-4d7c-9d05-09a0b106da68,Sling,"Visual Inspection",AZ-555,2026-06-29,Valid,4.4,4,Yard,"2026-04-18 11:15:20.569001+00"
5ce48728-fcbf-4d66-a350-373f9c22c03b,Sling,"Visual Inspection",NPS-2425,2026-06-29,Valid,4.5,4,Yard,"2026-04-18 11:15:20.569001+00"
85623f13-636a-4bed-a413-adc2b50c0d8e,Sling,"Visual Inspection",AZ-2171,2026-06-29,Valid,9.6,4,Yard,"2026-04-18 11:15:20.569001+00"
3c8a60f2-3aa8-458e-b9f0-dbcc178ea97a,Sling,"Visual Inspection",AZ-564,2026-06-30,Valid,9.6,4,Yard,"2026-04-18 11:15:20.569001+00"
5b90131c-55a6-405a-9be0-7c642c6b961b,Sling,"Visual Inspection",NPS-2580,2026-08-03,Valid,13,4,Yard,"2026-04-18 11:15:20.569001+00"
0a64492a-f242-423f-99cc-82c404f3e795,Sling,"Visual Inspection",AZ-562,2026-06-29,Valid,9.6,4,Yard,"2026-04-18 11:15:20.569001+00"
a690a949-5b1d-4e04-9aab-610b6bb2079b,Sling,"Visual Inspection",AZ-2164,2026-07-18,Valid,4.4,4,Yard,"2026-04-18 11:15:20.569001+00"
3e97b6cd-18f0-4471-b078-cb819b4ed695,Sling,"Visual Inspection",SA-217,2026-06-30,Valid,4.2,4,Yard,"2026-04-18 11:15:20.569001+00"
42a4eb90-b7c7-41ca-98c8-5f02ede11089,Sling,"Visual Inspection",NPS-4322,2026-06-30,Valid,6.9,4,Yard,"2026-04-18 11:15:20.569001+00"
6f263857-baac-45b3-aebf-20d70fd61534,Sling,"Visual Inspection",NPS-2426,2026-06-30,Valid,4.5,4,Yard,"2026-04-18 11:15:20.569001+00"
92f909e8-0dd4-4c6e-b8e0-08e4af2f917f,Sling,"Visual Inspection",SA-211,2026-08-04,Valid,17.85,4,Yard,"2026-04-18 11:15:20.569001+00"
7ee56692-ac1b-4b2e-b715-06d838703ba9,Sling,"Visual Inspection",LG-301,2026-08-06,Valid,12,2,Yard,"2026-04-18 11:15:20.569001+00"
948f82a8-4536-489f-bb8b-c98504893b67,Sling,"Visual Inspection",NPS-3364,2026-07-18,Valid,18,4,Yard,"2026-04-18 11:15:20.569001+00"
b97d5a63-c03d-4a4e-85e5-a16fa2df4a2c,Sling,"Visual Inspection",AZ-2176,2026-07-18,Valid,18,4,Yard,"2026-04-18 11:15:20.569001+00"
e5a707fa-36c1-470c-a404-731170c1d801,Sling,"Visual Inspection",MF-117,2026-07-18,Valid,18,4,Yard,"2026-04-18 11:15:20.569001+00"
0a971aa4-df11-4057-8458-6b0a29a1449e,Sling,"Visual Inspection",SA-216,2026-05-01,"Expiring Soon",4.2,4,Yard,"2026-04-18 11:15:20.569001+00"
1621cd36-555b-4653-8701-e15c03dc28e7,Sling,"Visual Inspection",AZ-554,2026-06-30,Valid,4.4,4,Yard,"2026-04-18 11:15:20.569001+00"
27cf1466-bcc0-40a9-8e8c-c64087a064fc,Sling,"Visual Inspection",SA-219,2026-06-30,Valid,4.2,4,Yard,"2026-04-18 11:15:20.569001+00"
636b6f66-e1a9-4482-bde3-63f3bb6587d8,Sling,"Visual Inspection",SA-218,2026-06-30,Valid,4.2,4,Yard,"2026-04-18 11:15:20.569001+00"
3ad3ccb4-4546-4f2a-873a-5eee70d3c6e8,Sling,"Visual Inspection",NPS-2585,2026-06-03,Valid,6.9,4,Yard,"2026-04-18 11:15:20.569001+00"
1122ddbf-effb-496f-8060-a1e28aebe486,Sling,"Visual Inspection",NPS-4999,2026-06-30,Valid,9.6,2,Yard,"2026-04-18 11:15:20.569001+00"
ce9e82d1-fca4-4326-a31b-8bbb51e32a10,Sling,"Visual Inspection",NPS-4937,2026-06-30,Valid,4.2,4,Yard,"2026-04-18 11:15:20.569001+00"
44c8cd3e-9a84-4106-8fe5-36326f1d9752,Sling,"Visual Inspection",AZ-2166,2026-05-01,"Expiring Soon",4.4,4,Yard,"2026-04-18 11:15:20.569001+00"
f9b0ea45-ee4b-443e-be00-73d868b0065a,Sling,"Visual Inspection",AZ-2173,2026-06-30,Valid,9.5,4,Yard,"2026-04-18 11:15:20.569001+00"
9e9a0ce8-8602-4c12-b37b-1f56a8010cb5,Sling,"Visual Inspection",AZ-2172,2026-09-14,Valid,9.6,4,Yard,"2026-04-18 11:15:20.569001+00"
2538d011-50ad-4071-be54-63dcb97f13a6,Sling,"Visual Inspection",OG-28,2026-06-30,Valid,10.7,4,Yard,"2026-04-18 11:15:20.569001+00"
012cb106-ede7-4dfb-b95c-bab275033c64,Sling,"Visual Inspection",AZ-2165,2026-06-30,Valid,4.4,4,Yard,"2026-04-18 11:15:20.569001+00"
fd8ad41d-2f44-4185-80f8-53140b605bdf,Sling,"Visual Inspection",1567-01,2026-07-18,Valid,4.4,4,Yard,"2026-04-18 11:15:20.569001+00"
ac99fd2e-fb74-4898-995a-c7433e49da2d,Sling,"Visual Inspection",1568-05,2026-07-18,Valid,6.9,4,Yard,"2026-04-18 11:15:20.569001+00"
95d6a9e7-d5e6-437b-bb31-2fe1e1abb20b,Sling,"Visual Inspection",NPS-1958,2026-08-10,Valid,6.9,4,Yard,"2026-04-18 11:15:20.569001+00"
f4556c38-c4ee-4864-abe8-0a9a91be1b4f,Sling,"Visual Inspection",NPS-2205,2026-09-27,Valid,27.6,4,Yard,"2026-04-18 11:15:20.569001+00"
ade91aed-f09f-411f-8876-ed9e7d1e83af,Sling,"Visual Inspection",NPS-1380,2026-09-27,Valid,18,4,OHS522,"2026-04-18 11:15:20.569001+00"
105af5fa-fe74-4a51-8182-6b0cd67bf312,Sling,"Visual Inspection",NPS-181,2026-06-07,Valid,15,4,OHS348,"2026-04-18 11:15:20.569001+00"
72719f53-2cdc-4b70-819b-f3a4bb599039,Sling,"Visual Inspection",GOHS-64,2026-06-01,Valid,17.85,4,OHS568,"2026-04-18 11:15:20.569001+00"
c77ef16c-8545-4492-893b-985e90e8985d,Sling,"Visual Inspection",MF-172,2026-08-06,Valid,17.85,4,Al2812,"2026-04-18 11:15:20.569001+00"
c57cf609-ccad-4b61-9fe2-97dad2705459,Sling,"Visual Inspection",NPS-3329,2026-08-04,Valid,17.8,4,OHS326,"2026-04-18 11:15:20.569001+00"
adcec5ae-fde6-40e0-b52c-23fab0e3327e,Sling,"Visual Inspection",GOHS-017,2026-07-06,Valid,18,4,OHS675,"2026-04-18 11:15:20.569001+00"
92aea1f4-9bde-4dd5-babf-a0e17d1295ed,Sling,"Visual Inspection",MF-148,2026-08-10,Valid,17.85,4,OHS715,"2026-04-18 11:15:20.569001+00"
1e03abda-4f78-481f-8aee-195058d64357,Sling,"Visual Inspection",NPS-2483,2026-07-18,Valid,13,4,OHS771,"2026-04-18 11:15:20.569001+00"
18d7dab3-84ec-4571-a24e-468bd0932658,Sling,"Visual Inspection",MF-119,2026-07-06,Valid,18,4,OHS360,"2026-04-18 11:15:20.569001+00"
dadf63ca-a4b5-4583-aecd-b29a29207d29,Sling,"Visual Inspection",NPS-1080,2026-08-27,Valid,13,4,OHS603,"2026-04-18 11:15:20.569001+00"
9982dc5f-bcb0-497d-9900-ff5ac15be9bb,Sling,"Visual Inspection",MF-102,2026-08-10,Valid,18,4,OHS716,"2026-04-18 11:15:20.569001+00"
5a2d9c27-5c86-498e-98f4-b9c1461a513d,Sling,"Visual Inspection",NPS-2140,2026-09-27,Valid,13,4,IB-033,"2026-04-18 11:15:20.569001+00"
67d3bad5-29eb-4f28-9a5d-051b8dedc51e,Sling,"Visual Inspection",AZ-560,2026-07-18,Valid,9.6,4,IB-03,"2026-04-18 11:15:20.569001+00"
6f277dd4-8251-4ca0-b04f-b8a05e827509,Sling,"Visual Inspection",NPS-137,2026-08-27,Valid,9.9,4,HB-05,"2026-04-18 11:15:20.569001+00"
e57d9a0e-68cc-4023-b218-5517c86ad0fc,Sling,"Visual Inspection",NPS-2584,2026-05-05,"Expiring Soon",13,4,IB-06,"2026-04-18 11:15:20.569001+00"
b22deee5-45ee-4751-9979-b53f5c4c17db,Sling,"Visual Inspection",NPS-133,2026-07-18,Valid,13,4,IB-04,"2026-04-18 11:15:20.569001+00"
a2419b43-1c20-45c5-b87d-37a134593196,Sling,"Visual Inspection",AZ-2174,2026-08-03,Valid,9.6,4,STMB02,"2026-04-18 11:15:20.569001+00"
1247bef6-6360-4852-84cf-cb7428afd2ec,Sling,"Visual Inspection",NPS-01,2026-09-03,Valid,6.9,4,HR-722,"2026-04-18 11:15:20.569001+00"
271ca10c-44f8-4c65-a21d-0b7a3baef856,Sling,"Visual Inspection",074526-001,2026-08-13,Valid,"13,2",4,IJ-722,"2026-04-18 11:15:20.569001+00"
26b817fe-d641-43b0-9ef5-8c0c6c9b1452,Sling,"Visual Inspection",NPS-3759,2026-09-03,Valid,2,1,GK-722,"2026-04-18 11:15:20.569001+00"
865b67b2-a5e2-468b-848e-9c22dc58328d,Sling,"Visual Inspection",NPS-3766,2026-09-03,Valid,2,1,GK-722,"2026-04-18 11:15:20.569001+00"
39f44dfc-0a05-4d60-92fd-3e7206d614e3,Sling,"Visual Inspection",NPS-3430,2026-05-25,Valid,1.8,2,GK-723,"2026-04-18 11:15:20.569001+00"
0ecf5f5b-4d56-40b4-8b7c-7ccc00271aa2,Sling,"Visual Inspection",AZ-559,2026-06-29,Valid,9.2,4,HB-02,"2026-04-18 11:15:20.569001+00"
537c2f14-ff86-4f37-ad6c-ff41528597dd,Sling,"Visual Inspection",081067-003,2026-08-27,Valid,13,4,PP-722,"2026-04-18 11:15:20.569001+00"
aee969cd-a479-452e-a3c9-c0e97b69cf17,Sling,"Visual Inspection",NPS-2144,2026-08-27,Valid,9.7,4,CP-722,"2026-04-18 11:15:20.569001+00"
40924e8d-1f93-4aed-af13-39b1c07ecf60,Sling,"Visual Inspection",NPS-1975,2026-07-18,Valid,6.9,4,RB-08,"2026-04-18 11:15:20.569001+00"
4004f517-0eab-4011-8bbf-fb2d877d6e9e,Sling,"Visual Inspection",NPS-135,2026-06-30,Valid,6.9,4,RB-02,"2026-04-18 11:15:20.569001+00"
cadc35e8-ccf2-4556-bb34-36a414e77fc8,Sling,"Visual Inspection",AZ-558,2026-06-30,Valid,9.6,4,"PU IB-05","2026-04-18 11:15:20.569001+00"
fe10c647-016e-4fa8-9fab-daee8f6ea4bc,Sling,"Visual Inspection",NPS-1751,2026-08-03,Valid,13,4,TB-713,"2026-04-18 11:15:20.569001+00"
da1159fd-6b22-4cb5-8a61-fa7305f85881,Sling,"Visual Inspection",AZ-2175,2026-06-29,Valid,13,4,TB-720,"2026-04-18 11:15:20.569001+00"
1ebdeee4-1c83-4b23-ba72-e758f7cf99ec,Sling,"Visual Inspection",NPS-163,2026-07-24,Valid,18,4,TB-703,"2026-04-18 11:15:20.569001+00"
a2c77408-1f70-44fa-9110-fdb65befdb14,"Wire Rope Pulling Sling","Visual Inspection",HT-912,2026-07-18,Valid,3.3,1,Yard,"2026-04-18 11:15:20.569001+00"
7a8cc3be-529d-45a2-aa37-1015e7b6f198,"Wire Rope Pulling Sling","Visual Inspection",HT-909,2026-07-18,Valid,3.3,1,Yard,"2026-04-18 11:15:20.569001+00"
618fb242-2a7e-4ba5-9bd4-7ef31cda409e,"Wire Rope Pulling Sling","Visual Inspection",HT-911,2026-07-18,Valid,3.3,1,Yard,"2026-04-18 11:15:20.569001+00"
212d7a13-10f1-4555-89bd-e984bbb2eae8,"Wire Rope Pulling Sling","Visual Inspection",HT-910,2026-07-18,Valid,3.3,1,Yard,"2026-04-18 11:15:20.569001+00"
987dfb05-a552-4bb6-a586-bded19aabc2e,"Wire Rope Pulling Sling","Visual Inspection",NPS-5015,2026-09-27,Valid,3.3,1,Yard,"2026-04-18 11:15:20.569001+00"
d0635e7d-b0a7-46c3-9b7c-3db072641f55,"Wire Rope Pulling Hoist","Visual Inspection",407230268,2026-09-23,Valid,3.2,"",Yard,"2026-04-18 11:15:20.569001+00"
ecdecee1-3f42-441d-88b8-37f418d8f154,"Injector Head",MPI,IJ-722,2026-12-31,Valid,"","",YARD,"2026-04-18 11:15:20.569001+00"
0362874a-87f9-4ebb-9a20-40845e308872,"Wire Rope Pulling Hoist","Visual Inspection",410280080,2026-09-23,Valid,3.2,"",Yard,"2026-04-18 11:15:20.569001+00"
0aaf9094-5941-4c26-aa17-7e15cf97dfef,"Wire Rope Pulling Sling","Visual Inspection",401380147/1,2026-09-23,Valid,3.2,1,Yard,"2026-04-18 11:15:20.569001+00"
3ab343c2-f707-4c43-886f-10837bc77b40,"Wire Rope Pulling Sling","Visual Inspection",NPS-5018,2026-09-23,Valid,3.2,1,Yard,"2026-04-18 11:15:20.569001+00"
028b51f0-0272-4372-82c4-e86fc1d02610,"Wire Rope Pulling Sling","Visual Inspection",401380148/1,2026-09-23,Valid,3.2,1,TB-710,"2026-04-18 11:15:20.569001+00"
c4222cc5-217f-4adf-bba3-70832154316d,"Wire Rope Pulling Sling","Visual Inspection",NPS-5025,2026-09-23,Valid,3.3,1,TB-710,"2026-04-18 11:15:20.569001+00"
553c25f1-636a-4694-b95e-33b761c11529,"Wire Rope Pulling Sling","Visual Inspection",NPS-5016,2026-09-23,Valid,3.3,1,TB-710,"2026-04-18 11:15:20.569001+00"
c2ac49b5-6d8f-4d69-8a29-2d4111edcd24,"Wire Rope Pulling Sling","Visual Inspection",NPS-5017,2026-09-23,Valid,3.3,1,TB-710,"2026-04-18 11:15:20.569001+00"
e11ee014-aa64-4a41-95c8-245d72130943,"Wire Rope Pulling Hoist","Visual Inspection",140280077,2026-09-23,Valid,3.2,"",TB-710,"2026-04-18 11:15:20.569001+00"
1ea94499-8b33-4c93-9fe2-c39b2a208121,"Wire Rope Pulling Hoist","Visual Inspection",410280073,2026-09-23,Valid,3.2,"",TB-710,"2026-04-18 11:15:20.569001+00"
a491b1ce-8771-42ad-b73f-170a9f94c1ab,"Wire Rope Pulling Hoist","Visual Inspection",401380148,2026-09-23,Valid,3.2,"",TB-710,"2026-04-18 11:15:20.569001+00"
3686ce39-e8aa-4bf1-bcd7-33eee915cea0,"Wire Rope Pulling Hoist","Visual Inspection",401380147,2026-09-23,Valid,3.2,"",TB-710,"2026-04-18 11:15:20.569001+00"
aadc5b11-3cbe-46d3-8cd8-764bf11ae2e1,"Wire Rope Pulling Hoist","Visual Inspection",407230265,2026-09-03,Valid,3.2,"",TB-703,"2026-04-18 11:15:20.569001+00"
e8d8ccaa-4a7d-4f05-bcbf-55481cfe8076,"Wire Rope Pulling Hoist","Visual Inspection",407230267,2026-09-03,Valid,3.2,"",TB-703,"2026-04-18 11:15:20.569001+00"
546d2f30-e7aa-410d-b55c-0c813808c68e,"Wire Rope Pulling Sling","Visual Inspection",NPS-5023,2026-09-03,Valid,3.3,1,TB-703,"2026-04-18 11:15:20.569001+00"
ade26dae-16f0-4451-9beb-f89626964149,"Wire Rope Pulling Sling","Visual Inspection",NPS-5019,2029-09-03,Valid,3.3,1,TB-703,"2026-04-18 11:15:20.569001+00"
0591ffe3-1604-4c09-a10f-9f4e0cedf3b2,"Wire Rope Pulling Hoist","Visual Inspection",410280072,2026-09-23,Valid,3.2,"",TB-720,"2026-04-18 11:15:20.569001+00"
0c5cf38b-ba79-4464-80d4-350e99c36f6e,"Wire Rope Pulling Hoist","Visual Inspection",407230270,2026-09-23,Valid,3.2,"",TB-720,"2026-04-18 11:15:20.569001+00"
cc9cca32-40f7-4c1a-a479-caed81480c70,"Wire Rope Pulling Sling","Visual Inspection",NPS-5020,2026-09-23,Valid,3.3,1,TB-720,"2026-04-18 11:15:20.569001+00"
f8115fca-4f99-4943-b13f-cdc787f6f367,"Wire Rope Pulling Sling","Visual Inspection",NPS-5022,2026-09-23,Valid,3.3,1,TB-720,"2026-04-18 11:15:20.569001+00"
daa57f35-bf03-4c1e-9f5b-90f503dcea34,"Wire Rope Pulling Hoist","Visual Inspection",410280074,2026-08-04,Valid,3.2,"",TB-713,"2026-04-18 11:15:20.569001+00"
14cf63e4-720c-4d56-9aca-e7175705da8d,"Wire Rope Pulling Hoist","Visual Inspection",407230266,2026-08-04,Valid,3.2,"",TB-713,"2026-04-18 11:15:20.569001+00"
18d4fb48-182c-4d7c-a902-9325ce518231,"Wire Rope Pulling Sling","Visual Inspection",NPS-5021,2026-08-03,Valid,3.3,1,TB-713,"2026-04-18 11:15:20.569001+00"
